wkt_geom,OBJECTID,link_fld,api,operator,well,symbol,sdf_key,id,type,status,oper_num,well_num,well_name,field_code,dist_n_s,dir_n_s,dist_e_w,dir_e_w,qtrqtr,sec,twp,range,meridian,lat,long_,ground_ele,utm_x,utm_y,LocQual,field_name,name,api_seq_nu,api_county,HF_Range,Gradient_R,HF_Tier,Gradient_T
Point (520559 4110418.00000000186264515),45015,7106507,05-071-06507,PIONEER NATURAL RESOURCES USA INC,23-27 CINDY H.,LO_XX,07106507&TYPE=WELL,217728,WELL,PR,10084,23-27,CINDY H.,70830,1793,S,2157,W,NESW,27,33S,66W,6,37.139903,-104.768516,6710,520559,4110418,Planned Footage,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6507,71,160-170,70-80,1,1
Point (526520 4125008.00000000186264515),45016,7106509,05-071-06509,PIONEER NATURAL RESOURCES USA INC,13-8 THOMAS,LO_XX,07106509&TYPE=WELL,217730,WELL,PR,10084,13-8,THOMAS,70830,2107,S,1022,W,NWSW,8,32S,65W,6,37.271271,-104.700875,7377,526520,4125008,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6509,71,150-160,60-70,1,2
Point (525824.99999999906867743 4106519),45017,7106522,05-071-06522,PIONEER NATURAL RESOURCES USA INC,31-7 MOLTRER,LO_XX,07106522&TYPE=WELL,217743,WELL,PR,10084,31-7,MOLTRER,70830,621,N,1634,E,NWNE,7,34S,65W,6,37.104634,-104.709354,6722,525825,4106519,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6522,71,140-150,70-80,2,1
Point (525200.99999999906867743 4111787),45018,7106539,05-071-06539,PIONEER NATURAL RESOURCES USA INC,24-19 EVERGREEN,LO_XX,07106539&TYPE=WELL,217760,WELL,PR,10084,24-19,EVERGREEN,70830,807,S,1652,W,SESW,19,33S,65W,6,37.152133,-104.716195,6988,525201,4111787,PLANNED Footage,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6539,71,160-170,80-90,1,1
Point (523702 4109668),45019,7106541,05-071-06541,PIONEER NATURAL RESOURCES USA INC,21-36 SMITH CANYON,LO_XX,07106541&TYPE=WELL,217762,WELL,PR,10084,21-36,SMITH CANYON,70830,802,N,1802,W,NENW,36,33S,66W,6,37.133073,-104.733145,6617,523702,4109668,Planned Footage,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6541,71,150-160,80-90,1,1
Point (520455.00000000186264515 4110923),45020,7106556,05-071-06556,PIONEER NATURAL RESOURCES USA INC,22-27 GERI ANN,LO_XX,07106556&TYPE=WELL,217777,WELL,PR,10084,22-27,GERI ANN,70830,1874,N,1823,W,SENW,27,33S,66W,6,37.144463,-104.769666,6845,520455,4110923,Planned Footage,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6556,71,160-170,70-80,1,1
Point (529884.00000000093132257 4117052),45021,7106558,05-071-06558,PIONEER NATURAL RESOURCES USA INC,23-3 MULLIGAN CANYON,LO_XX,07106558&TYPE=WELL,217779,WELL,PR,10084,23-3,MULLIGAN CANYON,70830,2186,S,1455,W,NESW,3,33S,65W,6,37.199453,-104.663253,6705,529884,4117052,PLANNED Footage,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6558,71,160-170,70-80,1,1
Point (524890.00000000093132257 4106044.00000000186264515),45022,7106573,05-071-06573,PIONEER NATURAL RESOURCES USA INC,12-07 ROADRUNNER,LO_XX,07106573&TYPE=WELL,217794,WELL,PR,10084,12-07,ROADRUNNER,70830,2195,N,478,W,SWNW,7,34S,65W,6,37.100374,-104.719894,6848,524890,4106044,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6573,71,140-150,60-70,2,2
Point (524874.00000000186264515 4104806.00000000186264515),45023,7106575,05-071-06575,PIONEER NATURAL RESOURCES USA INC,11-18 MOUNTAIN LION,LO_XX,07106575&TYPE=WELL,217796,WELL,PR,10084,11-18,MOUNTAIN LION,70830,978,N,425,W,NWNW,18,34S,65W,6,37.089214,-104.720114,7133,524874,4104806,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6575,71,130-140,60-70,2,2
Point (528555 4121759.00000000186264515),45029,7106590,05-071-06590,PIONEER NATURAL RESOURCES USA INC,23-21 RED LADY,LO_XX,07106590&TYPE=WELL,217811,WELL,PR,10084,23-21,RED LADY,70830,2055,S,2397,W,NESW,21,32S,65W,6,37.241922,-104.678044,7350,528555,4121759,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6590,71,170-180,60-70,1,2
Point (530564.00000000093132257 4114427),45030,7106592,05-071-06592,PIONEER NATURAL RESOURCES USA INC,31-15 BALLENTINE,LO_XX,07106592&TYPE=WELL,217813,WELL,PR,10084,31-15,BALLENTINE,70830,1119,N,1757,E,NWNE,15,33S,65W,6,37.175773,-104.655693,6680,530564,4114427,PLANNED Footage,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6592,71,150-160,80-90,1,1
Point (525076.00000000186264515 4103355.0000000037252903),45031,7106607,05-071-06607,PIONEER NATURAL RESOURCES USA INC,11-19 CHICKADEE,LO_XX,07106607&TYPE=WELL,217828,WELL,PR,10084,11-19,CHICKADEE,70830,429,N,983,W,NWNW,19,34S,65W,6,37.076134,-104.717894,7309,525076,4103355,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6607,71,130-140,60-70,2,2
Point (526664.00000000186264515 4103345.0000000037252903),45032,7106609,05-071-06609,PIONEER NATURAL RESOURCES USA INC,11-20 MOTH,LO_XX,07106609&TYPE=WELL,217830,WELL,PR,10084,11-20,MOTH,70830,464,N,994,W,NWNW,20,34S,65W,6,37.075995,-104.700024,7295,526664,4103345,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6609,71,130-140,70-80,2,1
Point (526806 4126559.0000000037252903),45033,7106624,05-071-06624,PIONEER NATURAL RESOURCES USA INC,23-5 WILD TURKEY,LO_XX,07106624&TYPE=WELL,217845,WELL,PR,10084,23-5,WILD TURKEY,70830,1877,S,2055,W,NESW,5,32S,65W,6,37.285241,-104.697595,7405,526806,4126559,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6624,71,140-150,70-80,2,1
Point (526026 4125642.00000000186264515),45034,7106626,05-071-06626,PIONEER NATURAL RESOURCES USA INC,41-7 DEGASPER,LO_XX,07106626&TYPE=WELL,217847,WELL,PR,10084,41-7,DEGASPER,70830,1093,N,562,E,NENE,7,32S,65W,6,37.277001,-104.706425,7420,526026,4125642,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6626,71,150-160,60-70,1,2
Point (524543 4119696),45035,7106641,05-071-06641,PIONEER NATURAL RESOURCES USA INC,44-25 STONEWALL,LO_XX,07106641&TYPE=WELL,217862,WELL,PR,10084,44-25,STONEWALL,70830,482,S,286,E,SESE,25,32S,66W,6,37.223442,-104.723355,7230,524543,4119696,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6641,71,190-200,50-60,1,3
Point (519990.00000000093132257 4105484),45036,7106656,05-071-06656,PIONEER NATURAL RESOURCES USA INC,12-10-34-66 LORENCITO,LO_XX,07106656&TYPE=WELL,217877,WELL,PR,10084,12-10-34-66,LORENCITO,70830,1504,S,250,W,NWSW,10,34S,66W,6,37.095444,-104.775056,7063,519990,4105484,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6656,71,140-150,60-70,2,2
Point (530696 4123121),45061,7106639,05-071-06639,PIONEER NATURAL RESOURCES USA INC,44-15 MAJESTIC CANYON,LO_XX,07106639&TYPE=WELL,217860,WELL,TA,10084,44-15,MAJESTIC CANYON,99999,1033,S,878,E,SESE,15,32S,65W,6,37.254132,-104.653853,7320,530696,4123121,Planned LatLong,WILDCAT,PIONEER NATURAL RESOURCES USA INC,6639,71,150-160,60-70,1,2
Point (518801.00000000093132257 4110178),45075,7106557,05-071-06557,KLT GAS INC,28-14 PRIMERO,LO_XX,07106557&TYPE=WELL,217778,WELL,PA,48875,28-14,PRIMERO,70830,1032,S,1694,W,SESW,28,33S,66W,6,37.137783,-104.788317,6920,518801,4110178,Planned Footage,PURGATOIRE RIVER,KLT GAS INC,6557,71,160-170,70-80,1,1
Point (522978 4107995.00000000186264515),45081,7106676,05-071-06676,PIONEER NATURAL RESOURCES USA INC,41-02 MARMOT,LO_XX,07106676&TYPE=WELL,217897,WELL,PR,10084,41-02,MARMOT,70830,1086,N,552,E,NENE,2,34S,66W,6,37.118014,-104.741355,6606,522978,4107995,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6676,71,150-160,70-80,1,1
Point (528907.00000000093132257 4116631),45082,7106706,05-071-06706,PIONEER NATURAL RESOURCES USA INC,34-4 WD SAWTOOTH,LO_XX,07106706&TYPE=WELL,217927,WELL,IJ,10084,34-4 WD,SAWTOOTH,70830,808,S,1775,E,SWSE,4,33S,65W,6,37.195693,-104.674274,6802,528907,4116631,PLANNED Footage,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6706,71,160-170,80-90,1,1
Point (518984 4111604.00000000186264515),45083,7106708,05-071-06708,PIONEER NATURAL RESOURCES USA INC,24-21 TWANNA,LO_XX,07106708&TYPE=WELL,217929,WELL,PR,10084,24-21,TWANNA,70830,341,S,2256,W,SESW,21,33S,66W,6,37.150633,-104.786217,6910,518984,4111604,Planned Footage,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6708,71,160-170,70-80,1,1
Point (530521.00000000093132257 4121398.00000000186264515),45084,7106723,05-071-06723,PIONEER NATURAL RESOURCES USA INC,34-22 FRIG,LO_XX,07106723&TYPE=WELL,217944,WELL,PA,10084,34-22,FRIG,70830,0,,0,,SWSE,22,32S,65W,6,37.23861,-104.6559,7282,530521,4121398,ACTUAL LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6723,71,160-170,60-70,1,2
Point (530030.00000000093132257 4120758.00000000186264515),45085,7106725,05-071-06725,PIONEER NATURAL RESOURCES USA INC,22-27 UPTOWN,LO_XX,07106725&TYPE=WELL,217946,WELL,PR,10084,22-27,UPTOWN,70830,1368,N,2000,W,SENW,27,32S,65W,6,37.232852,-104.661454,7242,530030,4120758,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6725,71,160-170,60-70,1,2
