,API,DAKOTA,GREENHORN,MORRISON,NIOBRARA,TIMPAS,GRANEROS,PIERRE,APISHAPA,CODELL,FORT,RATON,VERMEJO,POISON,TRINIDAD,CARLILE,RATON-VERMEJO,ENTRADA-DOCKUM,GLORIETA,PURGATOIRE,UNKNOWN,TORONTO,ROLLINS
211,507106399.0,,,,,,,,,,,459.0,,,,,,,,,,,
212,507106401.0,,,,,,,,,,,476.0,,,,,,,,,,,
213,507106402.0,,,,,,,,,,,463.0,,,,,,,,,,,
214,507106403.0,,,,,,,,,,,487.0,,,,,,,,,,,
215,507106404.0,,,,,,,,,,,615.0,,,,,,,,,,,
216,507106405.0,,,,,,,,,,,873.0,,,,,,,,,,,
217,507106406.0,,,,,,,,,,,752.0,,,,,,,,,,,
218,507106408.0,,,,,,,,,,,925.0,,,,,,,,,,,
219,507106409.0,,,,,,,,,,,439.0,,,,,,,,,,,
220,507106411.0,,,,,,,,,,,439.0,,,,,,,,,,,
221,507106412.0,,,,,,,,,,,404.0,,,,,,,,,,,
222,507106415.0,,,,,,,,,,,7.0,,,,,,,,,,,
223,507106416.0,,,,,,,,,,,255.0,,,,,,,,,,,
224,507106418.0,,,,,,,,,,,445.0,,,,,,,,,,,
225,507106419.0,,,,,,,,,,,0.0,1398.0,,1663.0,,,,,,,,
226,507106420.0,,,,,,,,,,,,806.0,,850.0,,,,,,,,
227,507106422.0,,,,,,,1170.0,,,,0.0,732.0,,1024.0,,,,,,,,
228,507106423.0,,,,,,,1140.0,,,,0.0,690.0,,998.0,,,,,,,,
229,507106426.0,,,,,,,980.0,,,,0.0,562.0,,860.0,,,,,,,,
230,507106427.0,,,,,,,,,,,,439.0,,634.0,,,,,,,,
231,507106428.0,,,,,,,1360.0,,,,0.0,970.0,,1200.0,,,,,,,,
232,507106432.0,,,,,,,,,,,0.0,750.0,,1030.0,,,,,,,,
233,507106433.0,,,,,,,1590.0,,,,0.0,1170.0,,1402.0,,,,,,,,
234,507106434.0,,,,,,,,,,,0.0,1560.0,,1850.0,,,,,,,,
235,507106435.0,,,,,,,,,,,311.0,,,,,,,,,,,
236,507106436.0,,,,,,,,,,,329.0,,,,,,,,,,,
237,507106437.0,,,,,,,,,,,0.0,1332.0,,1568.0,,,,,,,,
238,507106438.0,,,,,,,,,,,0.0,1299.0,,1527.0,,,,,,,,
239,507106439.0,,,,,,,,,,,1270.0,2630.0,,3050.0,,,,,,,,
240,507106440.0,,,,,,,,,,,1480.0,2925.0,,3150.0,,,,,,,,
241,507106442.0,,,,,,,,,,,0.0,1426.0,,1582.0,,,,,,,,
242,507106443.0,,,,,,,,,,,0.0,1454.0,,,,,,,,,,
243,507106444.0,,,,,,,,,,,0.0,1420.0,,1633.0,,,,,,,,
244,507106445.0,,,,,,,,,,,,1592.0,,,,,,,,,,
245,507106446.0,,,,,,,,,,,,1384.0,,,,,,,,,,
246,507106447.0,,,,,,,,,,,,1048.0,,,,,,,,,,
247,507106448.0,,,,,,,,,,,,1312.0,,,,,,,,,,
248,507106449.0,,,,,,,,,,,,1451.0,,,,,,,,,,
249,507106450.0,,,,,,,,,,,,1434.0,,,,,,,,,,
250,507106451.0,,,,,,,,,,,,1247.0,,,,,,,,,,
251,507106452.0,,,,,,,,,,,,1096.0,,,,,,,,,,
252,507106455.0,,,,,,,,,,,597.0,,,,,,,,,,,
253,507106456.0,,,,,,,,,,,757.0,,,,,,,,,,,
254,507106457.0,,,,,,,,,,,923.0,,,,,,,,,,,
255,507106458.0,,,,,,,,,,,,2140.0,,2464.0,,,,,,,,
256,507106459.0,,,,,,,,,,,399.0,1623.0,,,,,,,,,,
257,507106460.0,,,,,,,,,,,,1436.0,,,,,,,,,,
258,507106461.0,,,,,,,,,,,,1230.0,,,,,,,,,,
259,507106465.0,,,,,,,,,,,,938.0,,,,,,,,,,
260,507106466.0,,,,,,,,,,,,1030.0,,,,,,,,,,
261,507106467.0,,,,,,,,,,,,908.0,,,,,,,,,,
262,507106468.0,,,,,,,,,,,0.0,1178.0,,1404.0,,,,,,,,
263,507106470.0,,,,,,,,,,,,675.0,,920.0,,,,,,,,
264,507106472.0,,,,,,,,,,,0.0,1408.0,,1638.0,,,,,,,,
265,507106473.0,,,,,,,,,,,0.0,852.0,,1088.0,,,,,,,,
266,507106475.0,,,,,,,,,,,415.0,,,,,,,,,,,
267,507106477.0,,,,,,,,,,,,1123.0,,,,,,,,,,
268,507106479.0,,,,,,,,,,,0.0,512.0,,834.0,,,,,,,,
269,507106480.0,,,,,,,,,,,0.0,535.0,,829.0,,,,,,,,
270,507106482.0,,,,,,,,,,,0.0,396.0,,698.0,,,,,,,,
271,507106484.0,,,,,,,,,,,,1433.0,,,,,,,,,,
272,507106486.0,,,,,,,,,,,,1476.0,,,,,,,,,,
273,507106487.0,,,,,,,,,,,,1064.0,,,,,,,,,,
274,507106488.0,,,,,,,,,,,,1136.0,,,,,,,,,,
275,507106489.0,,,,,,,,,,,,940.0,,,,,,,,,,
276,507106490.0,,,,,,,,,,,,1710.0,,1888.0,,,,,,,,
277,507106491.0,,,,,,,,,,,0.0,1396.0,,1615.0,,,,,,,,
278,507106492.0,,,,,,,,,,,,452.0,,620.0,,,,,,,,
279,507106496.0,,,,,,,,,,,,1354.0,,,,,,,,,,
280,507106498.0,,,,,,,,,,,0.0,480.0,,940.0,,,,,,,,
281,507106499.0,,,,,,,,,,,,989.0,,,,,,,,,,
282,507106500.0,,,,,,,,,,,,1178.0,,,,,,,,,,
283,507106502.0,,,,,,,,,,,,914.0,,,,,,,,,,
284,507106503.0,,,,,,,,,,,,1398.0,,,,,,,,,,
285,507106504.0,,,,,,,,,,,,1437.0,,,,,,,,,,
286,507106505.0,,,,,,,,,,,,832.0,,,,,,,,,,
287,507106507.0,,,,,,,,,,,,892.0,,,,,,,,,,
288,507106508.0,,,,,,,,,,,,1438.0,,1650.0,,,,,,,,
289,507106509.0,,,,,,,,,,,,1658.0,,1850.0,,,,,,,,
290,507106510.0,,,,,,,,,,,0.0,1628.0,,1896.0,,,,,,,,
291,507106513.0,,,,,,,,,,,0.0,778.0,,1012.0,,,,,,,,
292,507106515.0,,,,,,,,,,,,,,,,,,,,,,
293,507106516.0,,,,,,,,,,,0.0,376.0,,562.0,,,,,,,,
294,507106517.0,,,,,,,,,,,,434.0,,736.0,,,,,,,,
295,507106518.0,,,,,,,,,,,,437.0,,750.0,,,,,,,,
296,507106521.0,,,,,,,,,,,,878.0,,1163.0,,,,,,,,
297,507106522.0,,,,,,,,,,,0.0,560.0,,860.0,,,,,,,,
298,507106523.0,,,,,,,,,,,,694.0,,980.0,,,,,,,,
299,507106525.0,,,,,,,,,,,,412.0,,740.0,,,,,,,,
300,507106526.0,,,,,,,,,,,0.0,1417.0,,1637.0,,,,,,,,
301,507106528.0,,,,,,,,,,,0.0,640.0,,970.0,,,,,,,,
302,507106529.0,,,,,,,,,,,,495.0,,769.0,,,,,,,,
303,507106530.0,,,,,,,,,,,0.0,700.0,,1012.0,,,,,,,,
304,507106531.0,,,,,,,,,,,0.0,240.0,,420.0,,,,,,,,
305,507106533.0,,,,,,,,,,,0.0,270.0,,500.0,,,,,,,,
306,507106534.0,,,,,,,,,,,,427.0,,684.0,,,,,,,,
307,507106537.0,,,,,,,,,,,0.0,350.0,,720.0,,,,,,,,
308,507106538.0,,,,,,,,,,,,672.0,,979.0,,,,,,,,
309,507106540.0,,,,,,,,,,,0.0,640.0,,858.0,,,,,,,,
310,507106541.0,,,,,,,,,,,0.0,664.0,,946.0,,,,,,,,
311,507106542.0,,,,,,,,,,,344.0,,,,,,,,,,,
312,507106543.0,,,,,,,,,,,,,,,,,,,,,,
313,507106544.0,,,,,,,,,,,0.0,1190.0,,1414.0,,,,,,,,
314,507106545.0,,,,,,,,,,,0.0,1054.0,,1430.0,,,,,,,,
315,507106547.0,,,,,,,,,,,,1075.0,,,,,,,,,,
316,507106548.0,,,,,,,,,,,,1264.0,,,,,,,,,,
317,507106549.0,,,,,,,,,,,550.0,1495.0,,1700.0,,,,,,,,
318,507106550.0,,,,,,,,,,,0.0,1290.0,,1519.0,,,,,,,,
319,507106551.0,,,,,,,,,,,1558.0,2830.0,,3140.0,,,,,,,,
320,507106552.0,,,,,,,,,,,,902.0,,,,,,,,,,
321,507106553.0,,,,,,,,,,,,1026.0,,,,,,,,,,
322,507106555.0,,,,,,,,,,,,1084.0,,,,,,,,,,
323,507106556.0,,,,,,,,,,,,1038.0,,,,,,,,,,
324,507106557.0,,,,,,,,,,,,1219.0,,,,,,,,,,
325,507106558.0,,,,,,,,,,,0.0,570.0,,852.0,,,,,,,,
326,507106559.0,,,,,,,,,,,,1212.0,,,,,,,,,,
327,507106561.0,,,,,,,,,,,,1073.0,,,,,,,,,,
328,507106562.0,,,,,,,,,,,,948.0,,,,,,,,,,
329,507106563.0,,,,,,,,,,,0.0,1484.0,,1806.0,,,,,,,,
330,507106564.0,,,,,,,,,,,,694.0,,,,,,,,,,
331,507106565.0,,,,,,,,,,,,850.0,,,,,,,,,,
332,507106567.0,,,,,,,,,,,,1293.0,,,,,,,,,,
333,507106568.0,,,,,,,,,,,,1340.0,,,,,,,,,,
334,507106570.0,,,,,,,,,,,,771.0,,,,,,,,,,
335,507106571.0,,,,,,,,,,,,698.0,,,,,,,,,,
336,507106572.0,,,,,,,,,,,,942.0,,,,,,,,,,
337,507106573.0,,,,,,,,,,,,810.0,,,,,,,,,,
338,507106574.0,,,,,,,,,,,,976.0,,,,,,,,,,
339,507106575.0,,,,,,,,,,,,1087.0,,,,,,,,,,
340,507106576.0,,,,,,,,,,,,923.0,,,,,,,,,,
